AIRT,"Air T, Inc.",24.1,57177900.7,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
AIXG,Aixtron SE,4.75,19755174,4158984,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg
AKAM,"Akamai Technologies, Inc.",54.78,9682229748,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKRX,"Akorn, Inc.",24.97,2857390337,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
ALCO,"Alico, Inc.",27.14,224978739.8,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",73.55,5856465822,n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALGT,Allegiant Travel Company,170.49,2864139935,n/a,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
ALIM,"Alimera Sciences, Inc.",1.87,84160907.71,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALKS,Alkermes plc,38.32,5776418763,n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ALLT,Allot Communications Ltd.,5.02,168461672,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
ALNY,"Alnylam Pharmaceuticals, Inc.",73,6215117946,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
ALOT,"Astro-Med, Inc.",13.52,99246750.72,n/a,1983,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/alot
ALQA,"Alliqua BioMedical, Inc.",0.81,22411819.53,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
ALSK,"Alaska Communications Systems Group, Inc.",1.83,92619985.62,n/a,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
ALXA,"Alexza Pharmaceuticals, Inc.",0.5,10875307.5,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa
ALXN,"Alexion Pharmaceuticals, Inc.",157.02,35375244794,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
AMAG,"AMAG Pharmaceuticals, Inc.",25.13,873234554.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMAT,"Applied Materials, Inc.",21.06,23813059634,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AMBA,"Ambarella, Inc.",44.58,1441421144,n/a,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
AMBC,"Ambac Financial Group, Inc.",14.85,668947890.6,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",6.7774,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMCC,Applied Micro Circuits Corporation,6.47,540486906.8,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/amcc
AMCN,AirMedia Group Inc,5.64,247425023.4,43869685,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AMCX,AMC Networks Inc.,66.64,4824352087,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
AMD,"Advanced Micro Devices, Inc.",2.8,2221094932,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
AMED,Amedisys Inc,47.87,1595464113,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
AMGN,Amgen Inc.,159.66,1.20E+11,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
AMIC,American Independence Corp.,20.7,167423773.5,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic
AMKR,"Amkor Technology, Inc.",5.49,1303262453,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMNB,"American National Bankshares, Inc.",25.13,216387418.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
AMOT,"Allied Motion Technologies, Inc.",17.63,163540128.8,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
AMOV,"America Movil, S.A.B. de C.V.",15.13,144830094.3,9572379,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AMRB,American River Bankshares,10.11,70712373,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
AMRI,"Albany Molecular Research, Inc.",15.99,572898258.7,n/a,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
AMRN,Amarin Corporation PLC,1.61,285293217.2,177200756,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMRS,"Amyris, Inc.",1.05,216764733.2,n/a,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
AMSC,American Superconductor Corporation,8.47,118938780.7,n/a,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMSF,"AMERISAFE, Inc.",51.35,982352304.7,n/a,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
AMSG,Amsurg Corp.,77.07,4217320341,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg
AMSWA,"American Software, Inc.",8.85,255311127.8,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMTD,TD Ameritrade Holding Corporation,31.55,16881022795,n/a,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/amtd
AMWD,American Woodmark Corporation,75.74,1232718564,n/a,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
AMZN,"Amazon.com, Inc.",602.08,2.83E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
ANAC,"Anacor Pharmaceuticals, Inc.",73.2,3283613506,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anac
ANAT,American National Insurance Company,113.93,3064108044,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
ANCB,Anchor Bancorp,24.3795,61468862.25,n/a,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb
ANCX,Access National Corporation,18.59,196296011.3,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ANDE,"The Andersons, Inc.",30.36,850080000,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/ande
ANGI,"Angie&#39;s List, Inc.",8.42,493689304.3,n/a,2011,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
ANGO,"AngioDynamics, Inc.",11.24,407849660.7,n/a,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIK,Anika Therapeutics Inc.,45.06,645719127.4,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
ANIP,"ANI Pharmaceuticals, Inc.",40.97,469080443.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
ANSS,"ANSYS, Inc.",89.12,7860827283,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
ANTH,"Anthera Pharmaceuticals, Inc.",4.14,165616713.2,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
ANY,Sphere 3D Corp.,1.21,54689922.43,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/any
AOSL,Alpha and Omega Semiconductor Limited,11.99,265429943.9,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
APDN,Applied DNA Sciences Inc,3.01,72456996.92,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdn
APEI,"American Public Education, Inc.",19.63,315072100.2,n/a,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
APLP,"Archrock Partners, L.P.",10.23,610952234,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/aplp
APOG,"Apogee Enterprises, Inc.",44.18,1276106209,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
APOL,"Apollo Education Group, Inc.",8.07,875917364.2,n/a,1994,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apol
APPS,"Digital Turbine, Inc.",1.07,70699735.33,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/apps
APPY,"Venaxis, Inc.",2.98,1442972.62,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/appy
APRI,"Apricus Biosciences, Inc",0.596,36819760.12,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apri
APWC,Asia Pacific Wire & Cable Corporation Limited,1.78,24599010.82,n/a,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/apwc
ARAY,Accuray Incorporated,5.87,474547476.7,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ARCB,ArcBest Corporation,20.12,518785930.7,n/a,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/arcb
ARCC,Ares Capital Corporation,14.99,4712062489,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/arcc
ARCI,"Appliance Recycling Centers of America, Inc.",1.05,6195858.9,n/a,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci
